2023-05-30 13:04:18.775 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-30 13:04:18.775 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.71]
2023-05-30 13:04:18.824 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-30 13:04:18.824 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 936 ms
2023-05-30 13:04:19.590 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-30 13:04:19.598 [main] INFO  com.eccentric.tranding.TrandingPlatformApplication - Started TrandingPlatformApplication in 2.113 seconds (JVM running for 2.494)
2023-05-30 13:04:41.974 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-30 13:04:41.975 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-30 13:04:41.976 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-05-30 13:04:42.016 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-05-30 13:04:42.125 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-05-30 13:04:42.130 [http-nio-8080-exec-1] DEBUG c.e.tranding.mappers.UserMapper.getUserByPhone - ==>  Preparing: select * from user where phone = ?
2023-05-30 13:04:42.147 [http-nio-8080-exec-1] DEBUG c.e.tranding.mappers.UserMapper.getUserByPhone - ==> Parameters: admin(String)
2023-05-30 13:04:42.165 [http-nio-8080-exec-1] DEBUG c.e.tranding.mappers.UserMapper.getUserByPhone - <==      Total: 1
2023-05-30 13:04:42.168 [http-nio-8080-exec-1] DEBUG c.e.tranding.mappers.RoleMapper.getRoleById - ==>  Preparing: select * from role where role_id = ?
2023-05-30 13:04:42.168 [http-nio-8080-exec-1] DEBUG c.e.tranding.mappers.RoleMapper.getRoleById - ==> Parameters: 1(Integer)
2023-05-30 13:04:42.169 [http-nio-8080-exec-1] DEBUG c.e.tranding.mappers.RoleMapper.getRoleById - <==      Total: 1
2023-05-30 13:04:42.170 [http-nio-8080-exec-1] DEBUG c.e.tranding.mappers.ModuleMapper.getModuleByUrl - ==>  Preparing: select * from module where url = ?
2023-05-30 13:04:42.171 [http-nio-8080-exec-1] DEBUG c.e.tranding.mappers.ModuleMapper.getModuleByUrl - ==> Parameters: /category/total(String)
